,throughputsEU2US1wEU0US1rEU0US0_slow_ABD_3-1-0_5throughputsEU2US1wEU0US1rEU0US0_slow_ABD_3-1-0_2throughputsEU2US1wEU0US1rEU0US0_slow_ABD_3-1-0_3throughputsEU2US1wEU0US1rEU0US0_slow_ABD_3-1-0_4throughputsEU2US1wEU0US1rEU0US0_slow_ABD_3-1-0_1
fast_ops_no,0.0
max_write_operation_latency,0.2870480155487021
mean_write_operation_latency,0.286983617344714
median_write_operation_latency,0.2870069522900594
min_write_operation_latency,0.28690949803985133
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,2.0
sUS,1.0
servers_no,3.0
std_write_operation_latency,5.8461793613677766e-05
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
