,throughputsEU3US0wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_2throughputsEU3US0wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_5throughputsEU3US0wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_4throughputsEU3US0wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_3throughputsEU3US0wEU0US0rEU0US1_slow_ARES_ABD_3-0-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.6054023346950062
mean_read_operation_latency,0.6047233721196131
mean_read_operation_latency_ABD,0.6047233721196131
median_read_operation_latency,0.6050945265360133
min_read_operation_latency,0.6038965287400196
rEU,0.0
rUS,1.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,0.0006247662311483426
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
