,throughputsEU0US3wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_1throughputsEU0US3wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_5throughputsEU0US3wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_2throughputsEU0US3wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_3throughputsEU0US3wEU0US1rEU0US0_slow_ARES_ABD_3-1-0-0_4
fast_ops_no,0.0
max_write_operation_latency,0.02610886233414931
mean_write_operation_latency,0.022993941288697535
mean_write_operation_latency_ABD,0.022993941288697535
median_write_operation_latency,0.02222830755347968
min_write_operation_latency,0.021009563868195982
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_write_operation_latency,0.0018518389111332658
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,0.0
wUS,1.0
writers_no,1.0
writes_no,1000.0
