,throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_5throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_2throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_3throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_4throughputsEU1US2wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_1
fast_ops_no,0.0
max_read_operation_latency,0.6008672423174721
mean_read_operation_latency,0.6005640599810051
mean_read_operation_latency_ABD,0.6005640599810051
median_read_operation_latency,0.6006429132780758
min_read_operation_latency,0.6000859856728348
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,1.0
sUS,2.0
servers_no,3.0
std_read_operation_latency,0.00025922521740528895
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
